Datum;Zeit;Stickstoffmonoxid (NO)[µg/m³];Stickstoffdioxid (NO2)[µg/m³];Kohlenmonoxid (CO)[mg/m³];Benzol[µg/m³];PM10[µg/m³];PM2,5[µg/m³];Temperatur[°C];Luftdruck[hPa]
09.01.2021;16:00;-;-;-;-;-;-;-;-
09.01.2021;17:00;-;-;-;-;-;-;-;-
09.01.2021;18:00;-;-;-;-;-;-;-;-
09.01.2021;19:00;-;-;-;-;-;-;-;-
09.01.2021;20:00;-;-;-;-;-;-;-;-
09.01.2021;21:00;-;-;-;-;-;-;-;-
09.01.2021;22:00;-;-;-;-;-;-;-;-
09.01.2021;23:00;-;-;-;-;-;-;-;-
09.01.2021;24:00;-;-;-;-;-;-;-;-
10.01.2021;01:00;-;-;-;-;-;-;-;-
10.01.2021;02:00;-;-;-;-;-;-;-;-
10.01.2021;03:00;-;-;-;-;-;-;-;-
10.01.2021;04:00;-;-;-;-;-;-;-;-
10.01.2021;05:00;-;-;-;-;-;-;-;-
10.01.2021;06:00;-;-;-;-;-;-;-;-
10.01.2021;07:00;-;-;-;-;-;-;-;-
10.01.2021;08:00;-;-;-;-;-;-;-;-
10.01.2021;09:00;-;-;-;-;-;-;-;-
10.01.2021;10:00;-;-;-;-;-;-;-;-
10.01.2021;11:00;-;-;-;-;-;-;-;-
10.01.2021;12:00;-;-;-;-;-;-;-;-
10.01.2021;13:00;-;-;-;-;-;-;-;-
10.01.2021;14:00;-;-;-;-;-;-;-;-
10.01.2021;15:00;-;-;-;-;-;-;-;-
10.01.2021;16:00;-;-;-;-;-;-;-;-
10.01.2021;17:00;-;-;-;-;-;-;-;-
10.01.2021;18:00;-;-;-;-;-;-;-;-
10.01.2021;19:00;-;-;-;-;-;-;-;-
10.01.2021;20:00;-;-;-;-;-;-;-;-
10.01.2021;21:00;37,8;38,8;0,44;1,91;13,2;12,0;-0,8;1024
10.01.2021;22:00;34,7;37,5;0,44;1,54;12,9;12,0;-1,2;1024
10.01.2021;23:00;24,8;33,2;0,35;1,50;10,9;10,0;-1,7;1024
10.01.2021;24:00;15,2;31,7;0,32;1,31;11,6;11,0;-2,3;1024
11.01.2021;01:00;17,4;31,1;0,30;1,54;10,0;9,4;-2,7;1024
11.01.2021;02:00;12,8;30,1;0,25;1,13;9,6;9,0;-2,9;1024
11.01.2021;03:00;8,9;29,2;0,25;1,02;10,4;9,8;-3,2;1024
11.01.2021;04:00;8,4;30,8;0,28;1,18;12,0;11,5;-3,2;1024
11.01.2021;05:00;25,2;31,8;0,32;1,19;12,1;11,3;-3,6;1024
11.01.2021;06:00;81,6;41,0;0,52;1,36;12,0;11,2;-3,8;1024
11.01.2021;07:00;101,1;40,4;0,56;1,86;12,0;10,9;-3,8;1023
11.01.2021;08:00;118,6;46,2;0,74;2,20;14,2;12,6;-4,1;1024
11.01.2021;09:00;172,0;56,6;0,89;2,76;13,6;11,3;-3,9;1023
11.01.2021;10:00;143,0;53,3;0,71;3,18;15,8;12,6;-3,4;1024
11.01.2021;11:00;75,8;39,0;0,43;2,44;17,8;12,9;-2,5;1024
11.01.2021;12:00;54,8;34,8;0,40;3,84;16,7;12,4;-1,4;1024
11.01.2021;13:00;68,2;40,8;0,46;4,47;23,4;15,6;0,0;1023
11.01.2021;14:00;74,4;44,0;0,52;4,02;28,7;19,0;1,0;1022
11.01.2021;15:00;66,1;41,0;0,46;2,20;26,2;17,4;1,5;1021
11.01.2021;16:00;72,4;55,4;0,66;2,41;28,4;16,3;2,3;1021
11.01.2021;17:00;121,5;75,2;0,84;2,97;34,0;16,2;2,4;1020
